	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_3022	Bacteria	Bacteria_X	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	[Desulfobacterium]_catecholicum_group	[Desulfobacterium]_catecholicum_group_sp.
ASV_4353	Bacteria	Bacteria_X	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	[Desulfobacterium]_catecholicum_group	[Desulfobacterium]_catecholicum_group_sp.
ASV_4625	Bacteria	Bacteria_X	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	[Desulfobacterium]_catecholicum_group	[Desulfobacterium]_catecholicum_group_sp.
ASV_7867	Bacteria	Bacteria_X	Proteobacteria	Deltaproteobacteria	Oligoflexales	03196G20	03196G20_X	03196G20_X_sp.
ASV_14733	Bacteria	Bacteria_X	Proteobacteria	Deltaproteobacteria	Oligoflexales	03196G20	03196G20_X	03196G20_X_sp.
ASV_514	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_748	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_877	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_1924	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_2034	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_2183	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_2419	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_2625	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_2773	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_3088	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_3320	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_3610	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_4094	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_4454	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_4966	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_5179	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_5339	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_5551	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_5745	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_6603	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_6843	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_6936	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_7135	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_7673	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8178	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8418	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8435	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8576	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8582	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_8967	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_9026	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_9032	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_9136	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_9536	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_10153	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_10182	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_10417	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_13133	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_13728	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_13975	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_14002	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_728	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_860	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2010	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2224	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2469	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_5552	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_5768	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_7179	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
